name,date,temperature,DAQ,exposure,bias,RN,EmGain,flux,smearing,mCIC,os_CIC
2019-02-09_-85T_10400G_10s.csv,20190209,-85,10400,10,2036.5,152.7,15865.5,0.092,1.5,0.005,0.0
2019-02-09_-85T_10400G_100s.csv,20190209,-85,10400,100,1955.5,221.1,8036.1,0.392,1.5,0.004,0.0
2019-02-09_-85T_10400G_0s.csv,20190209,-85,10400,0,2138.5,159.0,19755.3,0.056,1.5,0.005,0.0
2019-02-07_-95T_9100G_0s.csv,20190207,-95,9100,0,2702.5,106.8,610.5,-0.035,1.5,-0.008,0.0
2022-06-23_-92T_11168G_8s.csv,20220623,-92,11168,8,1220.0,51.5,3107.8,0.009,0.7,0.0343,0.0
2022-06-23_-92T_11168G_60s.csv,20220623,-92,11168,60,1258.0,54.3,3435.9,0.015,0.7,0.04,0.0
2022-02-03_-90T_7000G_5s.csv,20220203,-90,7000,5,5397.7,46.0,2051.2,0.0257,0.67,0.005,0.0017
2022-02-03_-90T_7000G_50s.csv,20220203,-90,7000,50,5406.8,45.9,1119.7,0.0511,0.32,0.0178,0.0045
2022-02-03_-90T_7000G_3s.csv,20220203,-90,7000,3,5406.8,48.6,1949.6,0.025,0.63,0.005,0.0012
2022-02-03_-90T_7000G_30s.csv,20220203,-90,7000,30,5406.8,46.5,2009.9,0.0303,0.7,0.005,0.004
2022-02-03_-90T_7000G_2s.csv,20220203,-90,7000,2,5402.3,47.8,2166.6,0.0246,0.64,0.005,0.0014
2022-02-03_-90T_7000G_25s.csv,20220203,-90,7000,25,5406.8,47.4,1852.3,0.0291,0.61,0.005,0.0024
2022-02-03_-90T_7000G_20s.csv,20220203,-90,7000,20,5415.9,49.4,1995.1,0.026,0.7,0.005,0.0021
2022-02-03_-90T_7000G_1s.csv,20220203,-90,7000,1,5406.8,48.0,1844.8,0.0266,0.61,0.005,0.0016
2022-02-03_-90T_7000G_15s.csv,20220203,-90,7000,15,5402.3,47.1,2097.0,0.0263,0.7,0.005,0.0021
2022-02-03_-90T_7000G_150s.csv,20220203,-90,7000,150,5420.5,48.8,1725.1,0.0441,0.6,0.005,0.007
2022-02-03_-90T_7000G_100s.csv,20220203,-90,7000,100,5415.9,48.4,1917.8,0.0383,0.7,0.005,0.0061
2022-02-03_-90T_7000G_0s.csv,20220203,-90,7000,0,5406.8,48.3,2007.8,0.0246,0.6,0.005,0.0013
2022-02-03_-90T_6800G_0s.csv,20220203,-90,6800,0,5420.5,47.9,818.3,0.025,0.7,0.0022,0.001
