Number,RA,DEC,phot_mean_g_mag,x_pix,y_pix,Field
HD 169486,275.0817436,64.20298882,7.1,0,0,BQSO1
TYC 4222-522-1,275.011913,64.44115309,11,0,0,BQSO1
BD+64 1261,274.7384847,64.25807469,8.9,0,0,BQSO1
BD+48 2318,235.1842492,47.85490481,9.9,0,0,BQSO2
TYC 14-233-1,11.74227644,2.967784983,11.2,0,0,BQSO3
BD+02 104,11.91243088,2.993149037,8.66,0,0,BQSO3
HD 4569,11.94680242,2.904172905,8.57,0,0,BQSO3
BD-06 413,32.221491,-5.776507,9,989.5,435.2,F1
UCAC2 29764972,32.254526,-5.815258,12,840.4,298.6,F1
TYC 4695-182-1,32.1014,-5.786504,11,942.5,911.1,F1
TYC 2597-915-1,252.787662,34.810634,9,308.5,137.8,F2
2,252.895501,34.875333,12,740.7,277,F2
3,252.829951,34.945769,11,628,615.5,F2
TYC 2597-973-1,252.83754,34.836825,12,506.4,188.6,F2
BD-00 4517,352.228576,-0.041124,9,341.7,903.7,F3
2MASS 23290409+0006266 ,352.267202,0.107397,12,946.6,743.4,F3
2MASS 23293305-0006404,352.387774,-0.111235,12,50.6,237.2,F3
TYC 39-1057-1,36.987137,0.402799,10,370.5,229.1,F4
BD-00 366,37.023638,0.390844,9,326.5,76.9,F4
2MASS 02272818+0029335,36.867454,0.492628,12,727.5,724.6,F4
TYC 39-1089-1,36.877561,0.53311,11,889.2,685.1,F4
0,0.000872,1.088979,8.990037,-3.817009,-12.408031,QSO1
1,0.064613,1.207946,11.823838,-0.30116,-7.948682,QSO1
2,0.143461,1.066249,8.677892,1.933596,-14.38573,QSO1
3,359.996741,1.239476,11.899264,-2.892174,-6.141786,QSO1
4,0.002719,1.247124,11.21874,-2.587711,-5.868011,QSO1
5,0.0266,1.331968,9.07557,-0.972909,-2.515486,QSO1
6,0.038536,1.289373,10.086621,-0.78873,-4.37479,QSO1
HD 9130,22.47075234,0.3745463439,7.74,0,0,QSO2
TYC 21-706-1 ,22.44909825,0.2758525955,11.26,0,0,QSO2
TYC 1-298-1 ,0.0645090382,1.207976162,11.8,0,0,QSO2
HD 224700 ,0.00087355045,1.089000804,10,0,0,QSO2
HD 224774,0.1434165006,1.066216102,8.7,0,0,QSO2
HD 5752,14.779574,-0.145077,8.382003,5.165253,-7.348303,QSO3
TYC 4674-573-1 ,14.642088,-0.25461,11.709938,-1.351801,-10.887082,QSO3
TYC 4674-397-1 ,14.578173,-0.349763,11.018049,-4.696217,-14.348151,QSO3
0,351.96842,-2.126415,11.660376,4.850363,-11.430924,QSO4
1,351.719117,-1.990274,10.760506,-5.661787,-5.698816,QSO4
2,351.915116,-1.887787,10.212835,2.610645,-1.372817,QSO4
3,351.917335,-1.86546,9.717599,2.704459,-0.42938,QSO4
4,351.944342,-1.952026,9.897263,3.843508,-4.085906,QSO4
5,351.947933,-2.004666,11.121481,3.993508,-6.307174,QSO4
