Internal-count,#main_id,obj,RA,DEC,Z,xmask,ymask,slit_length_left,slit_length_right,offset,thickness,length_slit,x_mm,y_mm,X_IMAGE,Y_IMAGE,NUV_ned,FUV_ned,Separation
58,1.031777E8,0,32.43455,-5.795051,0.7404,10.26279627,-4.51778796,0.3,0.12,0.0,0.075,0.42,10.1727963,-4.517788,1621.8349353066596,219.24591543466622,,,
60,1.0319168E8,0,32.482446,-5.736154,0.661,12.26872265,-2.033456515,0.12,0.12,0.0,0.075,0.24,12.2687226,-2.0334565,1341.3067967732604,63.615312357252435,,,
Blank1,0.0,0,32.052,-5.63,0.7,-5.800460341,2.449005008,0.4,0.14,0.0,0.075,0.54,-5.9304603,2.449005,1862.62314534896,1464.5198320129807,,,
Blank2,0.0,0,32.074,-5.61,0.7,-4.87628521,3.29417612,0.12,0.12,0.0,0.075,0.24,-4.8762852,3.2941761,1918.9936136937556,1383.4703202101766,,,
QSO2,2.09E13,1,32.454515,-5.806811,0.738,11.0966632,-5.012526328,0.4,0.4,0.07,0.075,0.8,11.0966632,-4.9425263,1579.612813222801,141.40359790332235,19.82393,-999.0,0.21219929232397738
Blank3,0.0,0,32.287,-5.68,0.7,4.078181743,0.337662761,0.12,0.12,0.0,0.075,0.24,4.0781817,0.3376628,1716.2339064870534,692.8372105209778,,,
OVI2,1.03175557E8,0,32.488523,-5.804923,0.9832,12.51720191,-4.931191551,0.12,0.12,0.0,0.075,0.24,12.5172019,-4.9311916,2974.086296575804,-72.68085543917928,,,
47,1.12013899E8,0,32.36018,-5.562246,0.6412,7.149654319,5.307167502,0.12,0.12,0.0,0.075,0.24,7.1496543,5.3071675,1721.568726967516,460.49134977260877,23.15822,-999.0,0.2538617844099735
28,1.03196115E8,0,32.185309,-5.717904,0.6421,-0.197256364,-1.263750454,0.0,0.0,0.0,0.075,0.0,-0.1972564,-1.2637505,1278.425842369016,1024.3145350704237,22.6795,-999.0,0.3602431635694351
QSO3,2.08E13,2,32.017403,-5.687933,2.418,-7.252513793,0.001746613,0.1,0.16,0.0,0.075,0.26,-7.2225138,0.0017466,11486.930911210513,1564.1299669444409,,,
42,1.03219293E8,0,32.320784,-5.621506,0.6563,5.497362976,2.807893355,0.12,0.12,0.0,0.075,0.24,5.497363,2.8078934,1636.3249477625527,584.5219245160914,23.45892,-999.0,0.3519980529833867
QSO4,2.1E13,2,32.477434,-5.605045,2.455,12.06066011,3.494535354,0.08,0.16,0.0,0.075,0.24,12.1006601,3.4945354,12232.570622655527,141.67534355644364,,,
59,1.03190971E8,0,32.469175,-5.7396,0.6497,11.71414169,-2.178890833,0.12,0.12,0.0,0.075,0.24,11.7141417,-2.1788908,1266.5446174652218,106.00994730435139,23.24433,-999.0,0.25718430352071675
26,1.03198924E8,0,32.174664,-5.706502,0.6446,-0.644897089,-0.781914604,0.12,0.12,0.0,0.075,0.24,-0.6448971,-0.7819146,1325.1589168500232,1058.7948985225576,23.32898,-999.0,0.8856322128050657
11,1.02176019E8,0,32.000532,-5.693551,0.6414,-7.96006369,-0.235674456,0.12,0.12,0.0,0.075,0.24,-7.9600637,-0.2356745,1348.3607661537676,1621.7067978931343,23.66489,-999.0,0.1819276065740126
3,1.02166895E8,0,31.911268,-5.736654,0.6604,-11.69578144,-2.054673351,0.12,0.12,0.0,0.075,0.24,-11.6957814,-2.0546734,1340.3375980608819,1910.5043598375662,23.32071,-999.0,0.16643799182742214
5,1.02164719E8,0,31.942081,-5.747289,0.6556,-10.40678892,-2.503575717,0.12,0.12,0.0,0.075,0.24,-10.4067889,-2.5035757,1280.8662209053086,1812.3398996702724,23.87562,-999.0,0.8850578902365238
37,1.03196599E8,0,32.274064,-5.716005,0.7188,3.534242618,-1.183535781,0.12,0.12,0.0,0.075,0.24,3.5342426,-1.1835358,1720.6948536208856,735.0414591379266,22.69328,-999.0,0.4926727457295627
17,1.02170154E8,0,32.096311,-5.721319,0.6466,-3.938649664,-1.40805133,0.12,0.12,0.0,0.075,0.24,-3.9386497,-1.4080513,1295.7488662179069,1313.2905629147592,23.28214,-999.0,0.9101355304900903
OVI1,1.02156098E8,0,31.904748,-5.787182,0.9724,-11.96477555,-4.184456229,0.12,0.12,0.0,0.075,0.24,-11.9647756,-4.1844562,2970.889302521387,1937.5353610709315,23.85053,-999.0,0.8938308301600323
35,1.12014514E8,0,32.2375,-5.55779,0.6505,1.996947694,5.499920239,0.12,0.12,0.0,0.075,0.24,1.9969477,5.4999202,1786.853119659218,859.5063064042308,22.6853,-999.0,0.27811134473452503
15,1.02195156E8,0,32.08196,-5.599334,0.6408,-4.541753926,3.744763132,0.12,0.12,0.0,0.075,0.24,-4.5417539,3.7447631,1611.3250328595168,1358.0274505033499,23.15746,-999.0,0.7008540506610129
