Internal-count,RA,DEC,Z,fuv_mag,NUV_ned,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected,X_IMAGE,Y_IMAGE,NUV_ned_2,FUV_ned
0,253.16115,34.9648,0.733,0.0,25.999,3.0,1.370426787508335,3.140090805285851,5.668655687285835,0.47272727,0.075,1.3801374195345038,3.162341002535956,1.37894748259597,3.16105404028342,2053.8973899468697,960.0506300316686,99.9,99.9
1,253.140564,34.986008,0.732091,0.0,25.999,3.0,0.28491679807594267,2.77602858179557,5.276640291113378,0.47272727,0.075,0.28691835066854643,2.795530300341326,0.28644843135103615,2.7950167652230706,2022.748984106487,1043.888305300216,99.9,99.9
2,252.995708,34.992336,0.0,0.0,17.48,4.0,-1.6812803045942608,-1.8450091296840014,-52.755536722395966,0.47272727,0.075,-1.6930510597939046,-1.8579261612743165,-1.6937327849895019,-1.858268536668047,-2453.707997447308,1194.994063677173,17.5002,17.8225
3,253.25197,34.922949,0.0,0.0,17.52,4.0,4.1024263723571845,5.4922092173271935,-46.204453430610194,0.47272727,0.075,4.133720655273979,5.534105093934116,4.125020849394299,5.526141981917909,-1922.9095876447032,751.4871510483987,17.4975,17.8
4,253.00645446777344,35.06332015991211,0.64524335,,22.061869,1.0,-4.371084326872723,-0.4679002544275002,-4.013617874785662,0.47272727,0.075,-4.402567245192769,-0.4712703256479309,-4.40519886331462,-0.471480488356702,1304.7420483189164,1401.6497814914887,99.9,99.9
5,252.97247314453125,34.75245666503906,0.7010053,,22.351974,1.0,7.555163383320225,-6.068029925869796,-4.912500750972148,0.47272727,0.075,7.6182617441814,-6.118708213360474,7.592137795459648,-6.102883311582781,1269.3250584705552,471.5050350430333,99.9,99.9
6,252.8296813964844,35.17415237426758,0.71582484,,22.55795,1.0,-10.846816802010087,-4.589132811679435,-2.50247197055276,0.47272727,0.075,-10.944930780577774,-4.630643430559433,-10.944143072600154,-4.627368311580178,1426.8057080595436,1902.7193931316829,23.3659,99.9
7,252.86204528808597,35.15045928955078,0.6806058,,22.800571,1.0,-9.529510501423404,-3.8871841228643667,-4.466389624187179,0.47272727,0.075,-9.610868816233225,-3.9203710058154373,-9.613169001033839,-3.9190723249708572,1273.0669208284235,1800.3670846531775,99.9,99.9
8,253.2079315185547,34.83833312988281,0.6983903,,22.8879,1.0,6.9420030325586675,2.8407075527077623,2.854660697589138,0.47272727,0.075,6.9959490397638735,2.862782569008897,6.978676560017369,2.856989967715861,1847.009384899788,530.6980392883428,99.9,99.9
9,252.86187744140625,35.09083557128906,0.71519333,,23.036001,1.0,-7.172715218411233,-4.760111428063345,-2.6976566438190424,0.47272727,0.075,-7.230427385919656,-4.7984116170057405,-7.233683442984569,-4.79769739079277,1410.6989842430544,1614.5213932974605,99.9,99.9
