Internal-count,RA,DEC,Xmm,Ymm,x_mm,y_mm,Z,X_IMAGE,Y_IMAGE,NUV_ned,FUV_ned,Separation
OVI4,36.835812,0.698988,-2.962896,1.995994,-2.942011,1.981925,1.01837,3645.5240903900417,1255.6344302257287,,,
OVI5,36.840668,0.578166,-2.754534,-3.189582,-2.734912,-3.166861,0.970419,3024.692672031063,1233.3220263327764,,,
OVI6,36.875675,0.641612,-1.251933,-0.459082,-1.243315,-0.455921,1.04826,3654.047019395949,1116.148891951881,,,
OVI7,36.911572,0.610166,0.288769,-1.817152,0.286775,-1.804599,0.932621,2902.9378966592376,1004.251472394402,,,
45,37.187721,0.692444,12.14144,1.735826,12.030937,1.720028,0.681656,1715.10326364121,107.08453262730086,24.59217,-999.0,0.3695357436098599
OVI9,36.936897,0.718811,1.375768,2.852429,1.366127,2.832439,0.954865,3326.182984490486,881.1926090990586,,,
OVI11,37.089233,0.585889,7.914359,-2.866439,7.851713,-2.84375,0.936995,2858.884118553554,411.87666201118896,,,
2,36.624081,0.51882,-12.051072,-5.73621,-11.936418,-5.681635,0.747773,1600.1810344438713,1946.2843325481958,24.65648,-999.0,0.39119498540422987
OVI13,37.142242,0.579529,10.189641,-3.140824,10.102479,-3.113957,1.05207,3495.232626672374,214.01976810003146,,,
OVI14,37.162998,0.676824,11.080317,1.072922,10.983847,1.063581,0.929264,3087.6781677698546,355.50595159282045,,,
QSOgal2,37.03302,0.575821,5.501578,-3.296451,5.46,-3.27181852191578,0.707887,1526.2102132207335,602.6131902397746,,,
QSOgal4,37.172119,0.547933,11.472099,-4.496656,11.37,-4.45563647203781,0.719612,1518.351116478431,148.80707537409944,,,
QSOgal5,37.177444,0.539968,11.700696,-4.838522,11.59,-4.79377247487382,0.719233,1492.772588186538,129.15048887345415,,,
QSOgal6,37.190205,0.551168,12.248374,-4.358228,12.13,-4.31735565125025,0.718309,1521.3541177150857,90.59822002275598,,,
43,37.136658,0.633022,9.949825,-0.862981,9.866783,-0.855778,0.729088,1813.3123769753765,264.6053825787342,23.53418,-999.0,0.710356574316223
1,36.613331,0.551302,-12.512409,-4.338648,-12.393879,-4.297548,0.721391,1543.2318700672954,1977.8913128722695,24.25525,-999.0,0.9395776832394254
QSO2,37.05645,0.582092,6.448623,-2.993872,6.399571,-2.901632,0.70772,1550.631063052786,529.7437074937645,21.54675,22.92762,0.4555650708625116
OVI10,37.047249,0.790226,6.112047,5.922314,6.063524,5.875297,1.00096,3724.4401125844784,887.7744424709446,24.5206,-999.0,0.2757564293864297
4,36.673306,0.671267,-9.937886,0.778293,-9.854999,0.771802,0.652062,1485.9557967284877,1787.8118102875771,24.4562,-999.0,0.6186899533721572
26,36.970337,0.720606,2.811018,2.930732,2.791047,2.909911,0.657114,1654.0004692140042,814.9722984898616,24.12906,-999.0,0.7357905274319541
28,36.98336,0.634215,3.370047,-0.793817,3.346331,-0.788231,0.642141,1317.4139574268695,765.1586730065123,24.17516,25.16193,0.09052693013934783
QSO1,36.90472,0.80024,-0.007659,6.28895,-0.007602,6.3115,0.66,1900.36583995669,1016.4840316155849,21.90303,-999.0,0.1744072142680773
44,37.153091,0.702315,10.655047,2.154819,10.563193,2.136243,0.683829,1754.2471315324167,225.2499205230653,24.51363,-999.0,0.7532949251124658
41,37.124683,0.528262,9.43606,-5.340005,9.354801,-5.294019,0.719641,1459.965273018584,304.68321348169184,24.51151,-999.0,0.676187255468194
7,36.710335,0.600333,-8.348649,-2.230031,-8.28209,-2.212253,0.712796,1628.8317936583412,1662.590297069699,25.71276,-999.0,0.8894443715430843
12,36.772476,0.718296,-5.681286,2.824339,-5.638908,2.803272,0.657182,1647.695666936162,1457.5423863514036,23.68056,-999.0,0.5617598921967114
39,37.105995,0.661862,8.633681,0.453437,8.56484,0.449821,0.681204,1626.481897129494,367.4036143703457,22.77416,24.70373,0.4597181510043825
OVI12,37.094189,0.741866,8.126799,3.84717,8.061261,3.816144,1.02138,3767.1377397845154,881.0898325623677,24.95209,-999.0,0.1988524973671892
3,36.65469,0.518297,-10.737232,-5.759299,-10.639824,-5.707051,0.74511,1581.6367565739351,1843.0457653674769,,,
6,36.704784,0.756674,-8.586617,4.473642,-8.51572,4.436704,0.700813,2010.7792158251593,1681.8283289963902,,,
8,36.727066,0.698124,-7.630361,1.953103,-7.570966,1.9379,0.657676,1593.795814834756,1608.1836746826789,,,
9,36.744488,0.685356,-6.882619,1.402071,-6.830348,1.391423,0.694636,1766.1633109930058,1549.7777895133659,,,
10,36.750645,0.556192,-6.618526,-4.131844,-6.567122,-4.099753,0.720861,1547.3176424272478,1531.658979164845,,,
