Wavelength,Trans_25km,Trans_26km,Trans_27km,Trans_28km,Trans_29km,Trans_30km,Trans_31km,Trans_32km,Trans_33km,Trans_34km,Trans_35km,Trans_36km,Trans_37km,Trans_38km,Trans_39km,Trans_40km,Trans_41km,Trans_42km,Trans_43km,Trans_44km,Trans_45km
180.0,4.4e-323,4.4e-323,4.4e-323,4.4e-323,4.4e-323,4.4e-323,3.46e-322,3.46e-322,3.46e-322,3.46e-322,6.47e-322,6.47e-322,6.47e-322,3.2311811881e-313,5.7536635482698e-190,8.919613653326279e-88,1.0,1.0,1.0,1.0,1.0
180.1,1.843e-321,1.843e-321,3.307857003e-315,6.492083026374696e-263,1.210476732245829e-218,2.5391026751801326e-182,1.0907929156917598e-151,1.5889731827445312e-124,8.102294684307217e-101,1.4924929433769275e-80,1.0247472877873839e-63,2.252070412926877e-49,1.3354660303184907e-36,2.150790990832633e-25,9.468837455351e-16,1.1469293944380729e-07,1.0,1.0,1.0,1.0,1.0
180.2,1.146e-321,1.146e-321,1.45e-321,1.45e-321,2.05e-321,5.285859366161813e-296,5.305802441515225e-246,1.0151432329649779e-201,4.035197470336321e-163,3.62825229742445e-130,8.025689611276392e-103,1.5010754430487695e-79,7.782044009046276e-59,1.1377911269326408e-40,4.772784809061501e-25,5.843066261766136e-12,1.0,1.0,1.0,1.0,1.0
180.29999999999998,6.77e-322,6.77e-322,6.77e-322,9.8e-322,9.8e-322,1.28e-321,1.58e-321,1.88e-321,3.664296374389712e-281,5.253696702517812e-224,1.0846585765477904e-176,1.7071601597004059e-136,9.417455710061239e-101,1.9187019722290667e-69,1.520553485078058e-42,4.9339457261122133e-20,1.0,1.0,1.0,1.0,1.0
180.39999999999998,7e-323,7e-323,7e-323,7e-323,7e-323,7e-323,7e-323,7e-323,7e-323,7e-323,3.7e-322,3.7e-322,3.7e-322,3.7e-322,6.7e-322,7.999124259886602e-150,1.0,1.0,1.0,1.0,1.0
180.49999999999997,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,2.5e-323,1.0,1.0,1.0,1.0,1.0
180.59999999999997,3.5e-322,6.5e-322,6.5e-322,6.5e-322,9.54e-322,1.255e-321,1.255e-321,1.556e-321,5.38120554269114e-308,2.6254184870555087e-245,1.9264883978750785e-193,2.138540653981851e-149,3.0476970766843235e-110,5.93911618902877e-76,1.6844380714975052e-46,7.395353284937782e-22,1.0,1.0,1.0,1.0,1.0
180.69999999999996,5e-324,5e-324,5e-324,5e-324,5e-324,3.06e-322,3.06e-322,3.06e-322,3.06e-322,6.1e-322,6.1e-322,6.1e-322,9.1e-322,1.335159220504676e-296,5.761242258645793e-180,3.383553062338284e-83,1.0,1.0,1.0,1.0,1.0
180.79999999999995,9.2e-322,9.2e-322,1.22e-321,1.22e-321,1.52e-321,2.124e-321,3.519877683562612e-296,9.633761836981352e-243,3.4046057441102032e-196,1.7601485679260066e-156,1.5052405568523815e-123,1.552203752270671e-95,1.3141199743279108e-70,9.366724947366828e-49,5.763056992751548e-30,3.137618540727476e-14,1.0,1.0,1.0,1.0,1.0
180.89999999999995,1.94e-321,1.94e-321,8.835379848148405e-301,6.465736350422104e-251,1.0831018020255991e-208,4.8417282567861435e-174,8.187229905034005e-145,6.809128356094659e-119,2.8669232307604016e-96,6.288799820944076e-77,7.394519861076002e-61,3.6221636980815756e-47,5.648251919556705e-35,2.8204859398345627e-24,4.536959163869856e-15,2.3648042824862498e-07,1.0,1.0,1.0,1.0,1.0
180.99999999999994,2.35e-321,5.741796184722074e-288,7.401283625868046e-242,6.966264705298447e-202,5.286612619055997e-168,3.5668979985584755e-140,1.1028615633317573e-116,7.616776249749724e-96,1.1970370922433135e-77,4.360613742202738e-62,3.7502491754089615e-49,3.9417203370781325e-38,2.5916892079097293e-28,1.0700826742161875e-19,2.785161040894217e-12,4.5871035007195825e-06,1.0,1.0,1.0,1.0,1.0
181.09999999999994,-1.2312088748139904e-249,-7e-323,-7e-323,-7e-323,-7e-323,-7e-323,-7e-323,-7e-323,-7e-323,2.3e-322,2.3e-322,2.3e-322,2.3e-322,2.3e-322,2.3e-322,3.0624160430165386e-223,1.0,1.0,1.0,1.0,1.0
181.19999999999993,2.7297149673158285e-265,1.154624542017981e-224,8.26314548390713e-189,1.0624318645779786e-157,2.6043207427976247e-131,1.2907241569432623e-109,2.722814475427871e-91,4.973349033004904e-75,7.954488378610096e-61,1.1266033534639444e-48,1.4287801991132458e-38,5.834858236309042e-30,2.7397538939112793e-22,1.4826000343492689e-15,9.267878434734369e-10,6.707968251612573e-05,1.0,1.0,1.0,1.0,1.0
181.29999999999993,1.294e-321,1.596e-321,1.897e-321,2.2e-321,1.0300953712036106e-274,5.9548600486446794e-229,2.158741496998674e-190,3.2237029705120004e-156,2.0862322563344785e-126,6.152212220839748e-101,8.688640325048496e-80,8.879174907440829e-62,9.64025694093634e-46,1.1235037397663347e-31,1.4199884592748303e-19,1.9663184031104123e-09,1.0,1.0,1.0,1.0,1.0
181.39999999999992,1.7824169379637303e-57,7.474508156914623e-49,3.199751198285382e-41,1.401972632239662e-34,6.303467092917006e-29,2.9158179355440787e-24,2.6045606653899063e-20,8.415560137894131e-17,9.840801691815325e-14,4.166784428785476e-11,6.391733447354759e-09,4.673049927427664e-07,2.141050729514978e-05,0.0006148167291975488,0.011066338913659182,0.12486743660206005,1.0,1.0,1.0,1.0,1.0
181.49999999999991,-7.4e-323,-7.4e-323,-7.4e-323,2.27e-322,2.27e-322,2.27e-322,2.27e-322,2.27e-322,2.27e-322,5.3e-322,5.3e-322,5.3e-322,8.3e-322,1.001703087e-315,1.7812096894915358e-191,1.8176223701605074e-88,1.0,1.0,1.0,1.0,1.0
181.5999999999999,7.6101391088904425e-118,5.646997565087774e-100,3.558708370873713e-84,1.9263844195197262e-70,9.05882473077027e-59,3.742471250846931e-49,5.096241278219312e-41,8.519608600453714e-34,1.752353726139852e-27,4.444354576803807e-22,1.3929346555903764e-17,9.499069376372998e-14,2.477474896170212e-10,2.472383626722748e-07,9.444982598915623e-05,0.013818639716710691,1.0,1.0,1.0,1.0,1.0
181.6999999999999,-1.5e-323,-1.5e-323,-1.5e-323,-1.5e-323,-1.5e-323,2.87e-322,2.87e-322,2.87e-322,2.87e-322,2.87e-322,5.9e-322,5.9e-322,5.9e-322,8.9e-322,9.147154251420165e-213,3.3156402147912485e-98,1.0,1.0,1.0,1.0,1.0
181.7999999999999,1.556e-321,1.86e-321,2.16e-321,7.997157379011243e-287,1.813904268468321e-238,8.198516091208292e-199,2.223418316233383e-165,9.728420708267964e-136,7.133191381997578e-110,9.10098090452221e-88,2.0972823028588278e-69,9.148876299333567e-54,7.746634468386597e-40,1.2830997490174297e-27,4.1895193837350836e-17,2.717475587083907e-08,1.0,1.0,1.0,1.0,1.0
181.8999999999999,2.7475216100752507e-251,7.839677774437927e-213,6.89056972335928e-179,1.96844302958563e-149,1.9274036648791894e-124,6.817732355898123e-104,1.5541977639886361e-86,3.9495300354767975e-71,1.1301550227048514e-57,3.67828277994407e-46,1.3753342694993473e-36,1.9849202448796716e-28,3.691188801635181e-21,8.863161935333189e-15,2.753716945735631e-09,0.00011093413559210207,1.0,1.0,1.0,1.0,1.0
181.9999999999999,2.7e-322,2.7e-322,5.73e-322,5.73e-322,5.73e-322,8.74e-322,1.176e-321,1.176e-321,1.477e-321,1.54423276e-315,1.2733014512718436e-248,7.166477049904754e-192,1.828074461418485e-141,2.3495838191921615e-97,1.6890010505872443e-59,7.526548193297293e-28,1.0,1.0,1.0,1.0,1.0
182.09999999999988,1.625e-321,1.927e-321,2.23e-321,1.785397810254202e-282,7.3118857057367e-235,8.177252466947989e-196,6.861269999720524e-163,1.0634088276249973e-133,3.1584494420160832e-108,1.8645266018491224e-86,2.2682599737990215e-68,5.747370558821628e-53,3.0012869517831726e-39,3.254422054305276e-27,7.382810365449174e-17,3.530140021271311e-08,1.0,1.0,1.0,1.0,1.0
182.19999999999987,1.5e-322,4.5e-322,4.5e-322,4.5e-322,7.5e-322,7.5e-322,1.05e-321,1.05e-321,1.354e-321,1.354e-321,5.375691424853037e-280,5.294712232720599e-216,3.4453266688923533e-159,1.6961519188115597e-109,7.218621389880205e-67,3.0281235657926685e-31,1.0,1.0,1.0,1.0,1.0
182.29999999999987,2.49e-321,3.4638312200888787e-278,1.1563211957524805e-233,4.6334473242684306e-195,2.4441011180406077e-162,1.858957178081612e-135,9.147456033734004e-113,1.2401615254685896e-92,4.71330171480884e-75,5.108804722533952e-60,1.6065518828629166e-47,7.171442509551778e-37,2.2000413430252572e-27,4.655030579551226e-19,6.817611941011754e-12,6.9359601976852044e-06,1.0,1.0,1.0,1.0,1.0
182.39999999999986,-2.5e-323,-2.5e-323,-2.5e-323,-2.5e-323,-2.5e-323,-2.5e-323,-2.5e-323,2.77e-322,2.77e-322,2.77e-322,2.77e-322,5.8e-322,5.8e-322,5.8e-322,1.848890435370979e-272,1.87870271170577e-125,1.0,1.0,1.0,1.0,1.0
182.49999999999986,1.8136295816837643e-50,6.475907748758161e-43,3.1410789390822336e-36,2.0737083771492454e-30,1.8671100808743365e-25,2.2972414057154678e-21,6.695869605966426e-18,8.002468431622153e-15,3.923106478355909e-12,7.892193534206375e-10,6.517770583510249e-08,2.8103668261805916e-06,8.04310612980567e-05,0.001527980838510604,0.019270003476296916,0.16134365672995823,1.0,1.0,1.0,1.0,1.0
182.59999999999985,1.403e-321,1.705e-321,1.705e-321,2.006e-321,2.4589418228318674e-269,1.7609390264574035e-224,1.1064177696937461e-186,3.50882939260495e-153,5.896932051673998e-124,5.511324665847446e-99,3.004643175883132e-78,1.3672735976071639e-60,7.228947102905239e-45,4.484894010792476e-31,3.2973738358399453e-19,2.9012520371735264e-09,1.0,1.0,1.0,1.0,1.0
182.69999999999985,3.5835747472170423e-131,2.969613546345188e-111,1.2006320980254662e-93,2.402052543024539e-78,2.4116878800284585e-65,1.2322448671841045e-54,1.4028341827834705e-45,1.5440755438121367e-37,1.647659681793849e-30,1.7091665090919777e-24,1.7282139126295968e-19,3.1986298079012483e-15,2.0307197148956167e-11,4.4249052472918696e-08,3.311114114981198e-05,0.00851350582525646,1.0,1.0,1.0,1.0,1.0
182.79999999999984,1.917e-321,2.22e-321,6.874991576643769e-291,1.0947252516435305e-242,7.270130004957244e-202,2.3235754567680027e-168,4.273020261901315e-140,4.9862505223174455e-115,3.793168804323076e-93,1.932241575305814e-74,6.768763097374221e-59,1.1835310013815842e-45,7.379094626367818e-34,1.6496394436579302e-23,1.3296547356326653e-14,3.8854923597556215e-07,1.0,1.0,1.0,1.0,1.0
182.89999999999984,1.24004742711143e-32,8.386525517115046e-28,1.5933753243204318e-23,8.511305284802726e-20,1.2792802670117265e-16,5.4147153176323024e-14,9.136257889713838e-12,8.692622416929711e-10,4.66438378667592e-08,1.4117894949101396e-06,2.4107323335522854e-05,0.00027102896616855465,0.0023407230783725505,0.015529843488454457,0.07915565194174114,0.3099628770415115,1.0,1.0,1.0,1.0,1.0
182.99999999999983,2.021099414045074e-92,1.8964207172268264e-78,4.3199129647925637e-66,2.405498752146168e-55,3.296936248683167e-46,1.1198649188583008e-38,2.6411039899908676e-32,1.2060173816654892e-26,1.0677134751103963e-21,1.8351556242496135e-17,6.131843529986732e-14,6.202272874347858e-11,2.9539027891819546e-08,6.6259811919443196e-06,0.0007002222762120856,0.03487195794895247,1.0,1.0,1.0,1.0,1.0
183.09999999999982,1.042e-321,1.042e-321,1.344e-321,1.645e-321,1.947e-321,1.527475608864907e-301,1.3584538581869335e-250,1.782643098869178e-205,3.7750033663679175e-166,1.4092014079673466e-132,1.0118029211905558e-104,5.142419427124821e-81,6.482769221306727e-60,2.0637986984561816e-41,1.6890151788209844e-25,3.6170865437896684e-12,1.0,1.0,1.0,1.0,1.0
183.19999999999982,1.14e-321,1.443e-321,1.744e-321,2.045e-321,1.9389567102645282e-292,1.1020516376466702e-243,1.2911829525631005e-202,3.1858460397709025e-166,1.7537073429854582e-134,2.280143381925844e-107,7.408916372393115e-85,1.0879109014701567e-65,1.2638108850230272e-48,1.1751528961182335e-33,8.84869323056754e-21,5.458346285418919e-10,1.0,1.0,1.0,1.0,1.0
183.2999999999998,8.134418255105323e-294,9.32479357326845e-249,5.290585486131456e-209,1.6000362291140001e-174,2.7754826470282536e-145,2.968719344283173e-121,5.792293704293241e-101,5.848083523305703e-83,3.097842774495157e-67,8.728865898559226e-54,1.3263177008186262e-42,4.488469709039112e-33,1.385339508323989e-24,3.9107950936111914e-17,1.0126644971305174e-10,2.4121015529370387e-05,1.0,1.0,1.0,1.0,1.0
183.3999999999998,4.221606508709809e-152,5.795216372362708e-129,1.6208899935699373e-108,9.415430176789635e-91,1.157681560233362e-75,3.070501150319979e-63,9.80555867695629e-53,2.0798337000742248e-43,2.9408491083859737e-35,2.7822432445386356e-28,1.7675908321676746e-22,1.5668850527765684e-17,4.0162190646132904e-13,2.9789047709925812e-09,6.3986523663897135e-06,0.003983330726127806,1.0,1.0,1.0,1.0,1.0
183.4999999999998,2.47e-322,2.47e-322,2.47e-322,5.5e-322,5.5e-322,8.5e-322,8.5e-322,8.5e-322,1.15e-321,1.453e-321,7.717247886465868e-297,5.955328503824628e-229,1.0719086747768203e-168,5.244432757532668e-116,8.106990395230301e-71,4.590439428476554e-33,1.0,1.0,1.0,1.0,1.0
183.5999999999998,1.428010784049798e-268,1.9622762300969742e-227,3.9557581538758356e-191,1.2441980634168129e-159,6.489247534172548e-133,5.960866831156831e-111,2.112953194227838e-92,6.113971614429768e-76,1.4608918152873944e-61,2.915800718380528e-49,4.917031856833087e-39,2.559644620664258e-30,1.49195278407008e-22,9.76043375735189e-16,7.183885362950955e-10,5.9629510470831845e-05,1.0,1.0,1.0,1.0,1.0
183.6999999999998,1.779646300439795e-75,4.2508767195575464e-64,4.94782708140585e-54,2.8191690414234537e-45,7.898993780441188e-38,1.0932865100688276e-31,1.725050828873604e-26,7.13771228685449e-22,7.751650837542396e-18,2.211544366400589e-14,1.6590181940760067e-11,4.695375095663975e-09,7.187911830283123e-07,5.952925889745926e-05,0.0026676903965236667,0.06469928312786478,1.0,1.0,1.0,1.0,1.0
183.79999999999978,8.05e-322,1.107e-321,1.107e-321,1.41e-321,1.71e-321,2.31e-321,1.36161258104965e-267,2.243593809467256e-219,2.3344303922627402e-177,1.697075445789976e-141,9.524101238227091e-112,1.9575130056091713e-86,6.610655808163711e-64,3.7440412415220126e-44,3.62938605667871e-27,6.144779618567383e-13,1.0,1.0,1.0,1.0,1.0
183.89999999999978,2.3026357452912016e-269,4.203364494043982e-228,1.0877419885191945e-191,4.24546796472647e-160,2.657129531424753e-133,2.833425262563541e-111,1.1387388935383726e-92,3.68294366497721e-76,9.69755519548009e-62,2.1029999537531412e-49,3.7994054125970626e-39,2.0974166476040204e-30,1.2881429142051785e-22,8.8226617976217e-16,6.755152331272653e-10,5.795781428610805e-05,1.0,1.0,1.0,1.0,1.0
183.99999999999977,1.08e-321,1.383e-321,1.685e-321,1.685e-321,1.9994620740389425e-308,5.726989088344579e-257,1.2350704973517309e-213,3.05686249278333e-175,9.260145506593851e-142,3.6588298965030663e-113,2.0080055466333102e-89,3.256010668738124e-69,3.20126330746712e-51,1.9333807795085803e-35,7.265924772811602e-22,1.7211967435193855e-10,1.0,1.0,1.0,1.0,1.0
184.09999999999977,7.961366654188169e-18,2.980305703172651e-15,5.712932305150973e-13,5.6089253516208005e-11,2.821108162910998e-09,7.270703304894875e-08,1.1498029019017312e-06,1.3356887600147096e-05,0.00011398368527293223,0.0007145889916074155,0.0032912949161449045,0.012102060354791621,0.038598655356069336,0.1067848830037245,0.25625745542184736,0.5334291785294434,1.0,1.0,1.0,1.0,1.0
184.19999999999976,1.1e-321,1.403e-321,1.705e-321,1.705e-321,1.2228169046347166e-305,1.1834904326687216e-254,1.0280316743399025e-211,1.1394107849461076e-173,1.7163610211304538e-140,3.7403156936397134e-112,1.2542828327607772e-88,1.3383260822375397e-68,9.069599634224049e-51,3.9538279074345954e-35,1.122966335891413e-21,2.1043753283980548e-10,1.0,1.0,1.0,1.0,1.0
184.29999999999976,1.4224184453428284e-12,8.436129548206167e-11,3.169056079819873e-09,7.54106533246698e-08,1.1368334169949738e-06,1.085844264410885e-05,7.415639068442966e-05,0.0004085712456178865,0.0018160809329193443,0.006512695820627539,0.018843197262035084,0.04660288592665757,0.1043761651072716,0.21170070505778393,0.3888461927659223,0.64680014932698,1.0,1.0,1.0,1.0,1.0
184.39999999999975,5.569966714752263e-244,1.17931940846326e-206,1.0488347356947559e-173,4.12118957282193e-145,7.521461697971032e-121,6.699687855064934e-101,4.771302910333987e-84,4.322547706479912e-69,5.029101454278417e-56,7.585745499163574e-45,1.497459423352955e-35,1.254445751492296e-27,1.4372327456203325e-20,2.256520810126461e-14,4.864581938335379e-09,0.00014427824904237477,1.0,1.0,1.0,1.0,1.0
184.49999999999974,1.7969801793644475e-29,4.020377135972588e-25,2.86962314861932e-21,6.53884086536595e-18,4.759676521713074e-15,1.1074840864655642e-12,1.1258401346805452e-10,6.829766853401934e-09,2.4727648058232876e-07,5.3439865289922045e-06,6.894635496047757e-05,0.0006103369077253399,0.004259891778464018,0.02344284830371946,0.1017225715765098,0.34804202567625625,1.0,1.0,1.0,1.0,1.0
184.59999999999974,8.80623115014795e-185,1.3160135748577199e-156,1.0160430376377949e-131,4.1699998959754295e-110,9.359009223581488e-92,1.1814062314594735e-76,6.854954700255784e-64,1.4688922216464979e-52,1.1687303067006674e-42,3.4715944133404017e-34,3.870592977333298e-27,3.9422284465157186e-21,8.893857883661078e-16,4.4495457981795806e-11,4.942088466165559e-07,0.0012200178587959832,1.0,1.0,1.0,1.0,1.0
184.69999999999973,-1.63e-322,-1.63e-322,-1.63e-322,1.4e-322,1.4e-322,1.4e-322,1.4e-322,1.4e-322,1.4e-322,1.4e-322,1.4e-322,4.4e-322,4.4e-322,4.4e-322,4.4e-322,1.9575656026532673e-152,1.0,1.0,1.0,1.0,1.0
184.79999999999973,3.893880101987832e-256,6.3228072962638535e-217,2.5636111024159597e-182,2.744539389324368e-152,8.199130620359714e-127,7.219425008197268e-106,3.544886480932758e-88,1.7785705392322654e-72,9.21426277351258e-59,4.980830458530708e-47,2.8386045528856398e-37,5.866322753950299e-29,1.5020472823494635e-21,4.775335073851432e-15,1.8891686298090833e-09,9.320222836078984e-05,1.0,1.0,1.0,1.0,1.0
184.89999999999972,7.903312741745344e-240,3.813767847667873e-203,9.22229764876129e-171,1.1734025413933249e-142,8.244293553720198e-119,3.3552839734573883e-99,1.2342414991890144e-82,6.224970553174933e-68,4.34437984562529e-55,4.2339099761900103e-44,5.814761104510254e-35,3.576297778032996e-27,3.111792350369264e-20,3.8378885732017944e-14,6.722131259508955e-09,0.00016752550369156645,1.0,1.0,1.0,1.0,1.0
184.99999999999972,9.465129013191258e-129,3.3527319771452404e-109,6.394291554356136e-92,6.6560800027996426e-77,3.833165877370122e-64,1.237826205318862e-53,9.55428704917525e-45,7.449019962003863e-37,5.881690871910196e-30,4.715685276264347e-24,3.8491226336182843e-19,5.936002410827907e-15,3.203464032432319e-11,6.053107337030657e-08,4.0069014662323465e-05,0.009297142555668277,1.0,1.0,1.0,1.0,1.0
185.0999999999997,8.989678603873888e-88,1.6472961568216922e-74,8.857153788256284e-63,1.4060824842273195e-52,6.6314906948829375e-44,9.349222265845754e-37,1.0477557146413543e-30,2.4715446448172387e-25,1.2286485165571633e-20,1.288735323261099e-16,2.8556300837912823e-13,2.0352035947421956e-10,7.095602059157236e-08,1.2104785356916862e-05,0.001010700036737478,0.04131384659819305,1.0,1.0,1.0,1.0,1.0
185.1999999999997,-3e-323,-3e-323,2.7e-322,2.7e-322,2.7e-322,2.7e-322,2.7e-322,5.73e-322,5.73e-322,8.74e-322,8.74e-322,1.176e-321,3.12899695519586e-303,6.3450385928774305e-208,1.7886104010346207e-126,1.1567848873196635e-58,1.0,1.0,1.0,1.0,1.0
185.2999999999997,1.0533436020126654e-60,1.3912780404064515e-51,1.638175854998117e-43,1.7245562018841278e-36,1.6279043677275628e-30,1.3818997758862643e-25,2.058368910024656e-21,1.047394599884012e-17,1.821747851344233e-14,1.0836951269968745e-11,2.206056983139985e-09,2.0532766152512335e-07,1.16673704014829e-05,0.0004048052738110756,0.008576692230632255,0.1109805282770895,1.0,1.0,1.0,1.0,1.0
185.3999999999997,2.6003822823211796e-48,4.3875593696218407e-41,1.0951258225038112e-34,4.050909133795264e-29,2.2247396973329225e-24,1.8173282285344123e-20,3.741064864328866e-17,3.283195042853202e-14,1.2288403815920569e-11,1.9622269849424943e-09,1.3372588774425233e-07,4.895156792785728e-06,0.00012108563282754693,0.00202407625719195,0.02286665881558162,0.17460371012291037,1.0,1.0,1.0,1.0,1.0
185.4999999999997,1.711977681861909e-67,2.4712899523772356e-57,2.4074086693342225e-48,1.5883729550744958e-40,7.1236650680202845e-34,2.1795679972195215e-28,9.593858096843626e-24,1.277772606810535e-19,5.153014843020123e-16,6.29689574071328e-13,2.3332339304141416e-10,3.619158718735205e-08,3.242076755249459e-06,0.00016775315842202046,0.005014357193001529,0.08660088676170415,1.0,1.0,1.0,1.0,1.0
185.59999999999968,1.998783585319804e-114,4.4817265057524386e-97,9.797749954974021e-82,2.1108335444881663e-68,4.5295186824488634e-57,9.784149766230214e-48,7.689680309556853e-40,7.892914805762139e-33,1.0602526501136041e-26,1.8677605453791316e-21,4.32382535407056e-17,2.277790461669767e-13,4.720784405851519e-10,3.850864372555682e-07,0.00012369001725293042,0.015650635771908495,1.0,1.0,1.0,1.0,1.0
185.69999999999968,1.3964866754173484e-70,5.988124505780369e-60,1.5262394912631002e-50,2.321454701345447e-42,2.11556494190581e-35,1.1596828801556252e-29,8.354790534541686e-25,1.7234461905982627e-20,1.0187441926914136e-16,1.726938247018888e-13,8.401779514325552e-11,1.6438706676871656e-08,1.811177800056599e-06,0.00011238884096642656,0.00392848876618751,0.07736411563684564,1.0,1.0,1.0,1.0,1.0
185.79999999999967,7.024185326321414e-94,1.1132721846442402e-79,4.0215282344215965e-67,3.3347577045453764e-56,6.393051496248093e-47,2.8536363271911813e-39,8.463699442990998e-33,4.73721560756677e-27,5.010611027098194e-22,1.0029173665044783e-17,3.8040642091234565e-14,4.2874368680766294e-11,2.2488652741088136e-08,5.491259045463935e-06,0.0006243816246944494,0.03306928325322975,1.0,1.0,1.0,1.0,1.0
185.89999999999966,5.669627199364343e-21,6.450977900547368e-18,3.301021390819169e-15,7.599087860733364e-13,7.872332599603366e-11,3.671238779356213e-09,9.575994399137468e-08,1.7351814430882914e-06,2.1843613199396893e-05,0.00019105193223447302,0.001161059713109742,0.0054084497888882005,0.021300383877170724,0.0709258516425598,0.19967804058102162,0.4753032545080099,1.0,1.0,1.0,1.0,1.0
